batch_id,generator,ordered_draws,multiplicities,rejection_or_filtering,regeneration_matches
rand20_t2,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",10 11 6 23 9 5 11 20 5 7 25 13 9 11 3 5 7 12 5 5,3:1 5:5 6:1 7:2 9:2 10:1 11:3 12:1 13:1 20:1 23:1 25:1,none,True
rand20_t3,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",2 13 5 24 23 2 5 19 5 3 24 12 10 21 22 4 2 9 9 10,2:3 3:1 4:1 5:3 9:2 10:2 12:1 13:1 19:1 21:1 22:1 23:1 24:2,none,True
rand20_t4,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",20 19 25 2 9 7 23 5 4 9 9 6 5 24 9 23 12 2 25 22,2:2 4:1 5:2 6:1 7:1 9:4 12:1 19:1 20:1 22:1 23:2 24:1 25:2,none,True
rand20_t5,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",25 24 22 4 10 5 9 2 8 25 6 21 10 9 25 25 12 20 4 6,2:1 4:2 5:1 6:2 8:1 9:2 10:2 12:1 20:1 21:1 22:1 24:1 25:4,none,True
rand20_t6,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",25 12 11 20 2 12 11 23 4 25 2 4 12 19 5 3 23 5 12 13,2:2 3:1 4:2 5:2 11:2 12:4 13:1 19:1 20:1 23:2 25:2,none,True
rand20_t7,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",9 12 11 24 5 20 5 8 19 6 7 21 2 10 25 25 2 5 6 24,2:2 5:3 6:2 7:1 8:1 9:1 10:1 11:1 12:1 19:1 20:1 21:1 24:2 25:2,none,True
rand20_t8,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",23 23 8 4 22 20 13 25 19 1 22 6 19 24 3 3 3 12 6 13,1:1 3:3 4:1 6:2 8:1 12:1 13:2 19:2 20:1 22:2 23:2 24:1 25:1,none,True
rand20_t9,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",20 5 13 6 10 24 22 2 9 6 1 21 13 6 20 12 9 1 2 23,1:2 2:2 5:1 6:3 9:2 10:1 12:1 13:2 20:2 21:1 22:1 23:1 24:1,none,True
rand30_t0,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",24 11 22 12 3 3 7 23 21 23 23 5 5 3 21 23 9 13 4 24 23 25 22 23 1 20 7 24 22 23,1:1 3:3 4:1 5:2 7:2 9:1 11:1 12:1 13:1 20:1 21:2 22:3 23:7 24:3 25:1,none,True
rand30_t1,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",22 6 21 3 23 23 5 22 10 7 21 5 1 4 7 23 25 6 13 8 25 11 24 3 25 4 25 6 3 9,1:1 3:3 4:2 5:2 6:3 7:2 8:1 9:1 10:1 11:1 13:1 21:2 22:2 23:3 24:1 25:4,none,True
rand30_t2,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",20 7 13 11 8 12 6 20 1 24 11 20 20 19 8 2 19 7 7 22 20 7 7 9 9 6 3 9 24 19,1:1 2:1 3:1 6:2 7:5 8:2 9:3 11:2 12:1 13:1 19:3 20:5 22:1 24:2,none,True
rand30_t3,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",24 13 7 11 1 6 9 12 19 10 9 5 10 24 21 4 2 11 13 7 22 21 19 5 4 1 5 10 22 2,1:2 2:2 4:2 5:3 6:1 7:2 9:2 10:3 11:2 12:1 13:2 19:2 21:2 22:2 24:2,none,True
rand30_t4,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",9 13 4 19 10 5 19 1 21 21 3 9 4 25 11 2 5 22 10 22 19 25 12 25 23 13 20 11 22 11,1:1 2:1 3:1 4:2 5:2 9:2 10:2 11:3 12:1 13:2 19:3 20:1 21:2 22:3 23:1 25:3,none,True
rand30_t5,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",23 20 10 6 5 13 21 11 13 6 2 6 6 7 11 3 5 19 20 2 9 11 9 5 9 24 12 19 23 21,2:2 3:1 5:3 6:4 7:1 9:3 10:1 11:3 12:1 13:2 19:2 20:2 21:2 23:2 24:1,none,True
rand30_t6,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",8 1 8 21 23 25 9 20 11 13 5 5 9 1 7 19 9 4 10 3 13 1 8 12 1 13 3 10 2 8,1:4 2:1 3:2 4:1 5:2 7:1 8:4 9:3 10:2 11:1 12:1 13:3 19:1 20:1 21:1 23:1 25:1,none,True
rand30_t7,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",5 7 21 8 21 22 6 2 1 11 25 7 19 21 19 21 24 4 1 4 3 19 12 5 19 21 4 13 20 3,1:2 2:1 3:2 4:3 5:2 6:1 7:2 8:1 11:1 12:1 13:1 19:4 20:1 21:5 22:1 24:1 25:1,none,True
rand30_t8,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",22 25 3 1 7 19 25 8 20 2 19 13 3 21 23 13 3 25 21 7 9 8 11 7 22 22 3 25 13 22,1:1 2:1 3:4 7:3 8:2 9:1 11:1 13:3 19:2 20:1 21:2 22:4 23:1 25:4,none,True
rand30_t9,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",20 9 20 25 6 22 11 10 9 20 6 23 22 2 23 5 10 13 8 1 23 4 5 21 7 23 20 6 1 24,1:2 2:1 4:1 5:2 6:3 7:1 8:1 9:2 10:2 11:1 13:1 20:4 21:1 22:2 23:4 24:1 25:1,none,True
ghz8_x30,homogeneous: 30 x idx 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10:30,none,True
qaoa12_x30,homogeneous: 30 x idx 21,21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21,21:30,none,True
